serial_number,raw_english_name,price,currency,unit
300,"Dior Miss Dior Blooming Bouquet, 2014",139.40,USD,KG
301,Paco Rabanne 1 Million,41.82,USD,KG
302,Drakkar noir,35.76,USD,KG
303,Kilian Light My Fire,93.34,USD,KG
304,Giorgio Armani Thé Yulong,238.78,USD,KG
305,Chanel Chance Eau Tendre,302.72,USD,KG
306,Dior J'Adore L'Or,247.88,USD,KG
307,Chanel Paris – Deauville,181.22,USD,KG
308,1999 Dior J'adore,155.16,USD,KG
309,Jean Paul Gaultier Scandal,63.64,USD,KG
310,"Givenchy L'Interdit Eau de Parfum, 2018",87.28,USD,KG
311,Paco Rabanne ONE Million(Sweetheart),88.78,USD,KG
312,Kenneth Cole Addicted To You,54.54,USD,KG
313,"Lancome La Vie Est Belle, 2012",63.94,USD,KG
314,Rabanne Invictus Aqua,63.04,USD,KG
315,Lancome La Nuit Trésor,63.04,USD,KG
316,Chanel Coco Mademoiselle,69.10,USD,KG
317,"Acqua di Parma Blu Mediterraneo - Mirto di Panarea, 2008",93.34,USD,KG
318,"Jo Malone Wood Sage & Sea Salt, 2014",101.82,USD,KG
319,"Creed Aventus, 2010",524.24,USD,KG
326,) Baccarat Rouge 540,77.28,USD,KG
327,33 Labo 33 Le Labo Santal 33,76.66,USD,KG
329,Hugo Boss-Boss Bottled Oud Saffron,76.36,USD,KG
330,Kayali Fragrances Yum Boujee Marshmallow | 81,186.66,USD,KG
331,Azzaro Chrome,89.40,USD,KG
332,Xerjoff Erba Pura,171.52,USD,KG
333,Xerjoff Erba Pura,78.18,USD,KG
334,Victoria's Secret Bombshell,69.40,USD,KG
335,Lanvin Rumeur,157.58,USD,KG
336,Calvin Klein CK One,101.52,USD,KG
337,Burberry Hero,210.60,USD,KG
338,) Versace Bright Crystal,87.88,USD,KG
339,) Lalique Encre Noire,365.46,USD,KG
340,) Penhaligon's The Tragedy of Lord George,517.58,USD,KG
341,Elizabeth Arden White Tea,181.52,USD,KG
342,Byredo Rose Of No Man's Land,296.36,USD,KG
343,) Rabanne 1 Million,393.94,USD,KG
344,) Carolina Herrera Good Girl,260.60,USD,KG
345,Tom Ford Lost Cherry,139.40,USD,KG
346,) Tom Ford Ombré Leather,443.94,USD,KG
351,Victoria's Secret Pure Seduction,45.16,USD,KG
354,"Louis Vuitton California Dream, 2020",789.70,USD,KG
355,212 Carolina Herrera 212 VIP Men,64.54,USD,KG
356,540 Baccarat Rouge 540,132.12,USD,KG
357,") Hermes Terre d'Hermes Parfum, 2009",134.84,USD,KG
358,Tom Ford Oud Wood,80.60,USD,KG
361,"Le Labo Santal 33, 2011",81.52,USD,KG
362,"Coach Eau de Toilette, 2016",110.60,USD,KG
363,L'Artisan Parfumeur Passage d'Enfer,303.04,USD,KG
364,"Parfums de Marly Valaya, 2023",452.12,USD,KG
365,Giorgio Armani Eclat de Jasmin,459.40,USD,KG
367,Marc Jacobs Daisy Wild,217.58,USD,KG
